evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
760815-11-M2,760914-00-M1,1976-08-15 11:48:23.441667,AA,repeating,123.8379845677778,254.76479074066668,0.2106879822569443,0.009030562023675,254.76479074066668,49.16972925,128.29848577057737,0.4398190806183297,254.3730539442977,2.310482865043378
760815-13-M1,761013-12-M1,1976-08-15 13:02:20.775063,AA,repeating,122.24536553408888,253.7741355424889,0.2620460076736111,0.0109470115999064,253.7741355424889,15.050001,200.4630695470421,1.5800692139645267,167.74928608491072,0.0830098387502827
760815-15-M2,760815-15-M2,1976-08-15 15:38:30.833819,AA,repeating,119.29530849807406,251.8991850988444,0.3704957617939814,0.0082276323717538,251.8991850988444,19.402297,174.11434324139506,0.0124621344679666,265.3578071305625,0.2003168042445447
760815-17-M1,760815-17-M1,1976-08-15 17:18:03.378966,AA,repeating,117.6638156678222,250.8273992949333,0.4396224417361111,0.0066541251376703,250.8273992949333,10.6340145,223.0831987982311,0.1576997565568334,142.1103264747833,0.8574780823985919
760815-19-M2,760815-19-M2,1976-08-15 19:55:22.575000,AA,repeating,115.42165,249.2744333333333,0.5488723958333334,0.0071312444975353,249.2744333333333,38.89141275,225.51485942951592,1.127790178501205,168.66581439288603,1.6179554560049954
760815-20-M3,760815-20-M3,1976-08-15 20:52:40.807140,AA,repeating,114.69109185244444,248.75506560888888,0.5886667493055555,0.0066388016522094,248.75506560888888,45.31964425,178.687462849364,0.1043851195177301,239.0729990455628,0.1062934846056559
760815-21-M2,760815-21-M2,1976-08-15 21:24:11.816667,AA,repeating,114.30039086413332,248.47491604933336,0.6105534336458334,0.0046277964412069,248.47491604933336,30.04983075,98.3473386625411,1.173278287586948,197.91952407947653,0.1673235454599512
760815-22-M2,761113-01-M2,1976-08-15 22:53:59.000000,AA,repeating,113.26417777777776,247.6981333333333,0.6729050925925926,0.0134779082203067,247.6981333333333,33.954933,178.79505768798634,0.1992053957659411,152.8337005958995,0.1593396522727882
760816-00-M1,760816-00-M1,1976-08-16 00:50:21.369908,AA,repeating,112.04762860758518,246.75715067893333,0.7537195591203703,0.0106048590426314,246.75715067893333,28.4478755,194.86173591828057,1.493543457194594,34.5996455541241,1.6758194906125634
760816-04-M1,760816-04-M1,1976-08-16 04:08:12.767167,AA,repeating,110.2336641234074,245.2749312987259,0.8911199903587963,0.0107964473110671,245.2749312987259,26.653572250000003,204.49811889945792,1.462638603252954,228.51310720811924,0.0113132458817594
760816-05-M1,760914-23-M1,1976-08-16 05:15:40.914204,AA,repeating,109.6745447728,244.79575704551112,0.937973544027778,0.0160962430265764,244.79575704551112,6.0460892500000005,13.530027871013722,1.3295544867341302,57.14066801909698,0.4705420787787334
760816-06-M3,760914-20-M1,1976-08-16 06:43:33.500000,CC,repeating,108.99025185185188,244.20025185185185,0.9989988425925926,0.0076844862998069,244.20025185185185,37.298471,-1.0,-1.0,-1.0,-1.0
760816-06-M4,761113-04-N1,1976-08-16 06:56:02.450000,AA,repeating,108.89167333333332,244.12130148148148,1.0076672453703703,0.0133219458430477,244.12130148148148,48.901617,294.9551748034576,2.010760734647518,213.92749749842343,0.1825046499713425
