evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
761127-10-M3,761127-10-M3,3,1976-11-27 10:48:24.600744,1.0,0.0,3,35,A,AA,isolated,1,1.874491,1976-11-27 10:48:24.600744,252.31550287253333,230.63001802026668,15.559659730833332,sunrise4,58.700000129752176,0.0271019134058862,130.85369580251495,1.067025669408712,200.54890478667824,4.0954650065781495,geophone_rock
761127-10-M3,761127-10-M3,4,1976-11-27 10:48:25.800744,1.0,0.0,3,35,A,AA,isolated,1,3.92279,1976-11-27 10:48:25.800744,252.31655176142223,230.6304091313777,15.55967361972222,sunrise4,49.90000012975205,0.0092280628028014,130.85369580251495,1.067025669408712,200.54890478667824,4.0954650065781495,geophone_rock
761127-10-M3,761127-10-M3,2,1976-11-27 10:48:26.300744,1.0,0.0,3,35,A,AA,isolated,1,3.516327,1976-11-27 10:48:26.300744,252.31698879845925,230.63057209434075,15.559679406759258,sunrise4,45.60000012975199,0.0066538273161764,130.85369580251495,1.067025669408712,200.54890478667824,4.0954650065781495,geophone_rock
761127-10-M3,761127-10-M3,1,1976-11-27 10:48:26.800744,1.0,0.0,3,35,A,AA,isolated,1,0.643878,1976-11-27 10:48:26.800744,252.3174258354963,230.63073505730367,15.559685193796296,sunrise4,35.50000012975185,0.0048802403343695,130.85369580251495,1.067025669408712,200.54890478667824,4.0954650065781495,geophone_rock
770125-16-M1,761028-23-M3,1,1977-01-25 16:17:45.072149,0.8427731078096857,-2.023809523809524,3,35,A,AA,repeating,6,4.039797,1977-01-25 16:17:43.048339,255.1876852640445,232.32889054514072,15.561782966886572,sunrise6,243.70000012974205,0.0053024664191787,154.30676874479056,2.1769160976808943,66.3595810915173,0.8393693752137307,geophone_rock
770125-16-M1,761028-23-M3,3,1977-01-25 16:17:44.271808,0.9101217851725704,0.0765306122448979,3,35,A,AA,repeating,6,0.996599,1977-01-25 16:17:44.348339,255.18878304182223,232.3293335081037,15.561798013182871,sunrise6,31.300000129751787,0.0284252111761173,154.30676874479056,2.1769160976808943,66.3595810915173,0.8393693752137307,geophone_rock
770125-16-M1,761028-23-M3,4,1977-01-25 16:17:44.773849,0.8599311429687758,-0.0255102040816326,3,35,A,AA,repeating,6,1.191838,1977-01-25 16:17:44.748339,255.1891208196,232.3294698044,15.561802642812498,sunrise6,170.6000001297462,0.0089811128638072,154.30676874479056,2.1769160976808943,66.3595810915173,0.8393693752137307,geophone_rock
770125-16-M1,761028-23-M3,2,1977-01-25 16:17:45.065686,0.8633558082509001,0.3826530612244898,3,35,A,AA,repeating,6,3.306463,1977-01-25 16:17:45.448339,255.1897119307112,232.3297083229185,15.561810744664353,sunrise6,59.50000012975219,0.0062731366647712,154.30676874479056,2.1769160976808943,66.3595810915173,0.8393693752137307,geophone_rock
761227-01-M1,761028-23-M3,3,1976-12-27 01:17:58.656296,0.9006240366374733,0.1105442176870748,3,35,A,AA,repeating,6,0.970069,1976-12-27 01:17:58.766840,253.9602737291852,231.59493141451853,15.56196489398148,sunrise5,66.7000001297521,0.0205776338718825,179.99015480454815,6.145329476216727,212.1766871588272,2.43888747284157,geophone_rock
761227-01-M1,761028-23-M3,4,1976-12-27 01:17:59.167180,0.8337402472011053,0.3996598639455783,3,35,A,AA,repeating,6,3.17177,1976-12-27 01:17:59.566840,253.9609611365926,231.59519215525927,15.56197415324074,sunrise5,30.40000012975177,0.0069496808171098,179.99015480454815,6.145329476216727,212.1766871588272,2.43888747284157,geophone_rock
761227-01-M1,761028-23-M3,2,1976-12-27 01:17:59.460718,0.8304522591600404,0.3061224489795918,3,35,A,AA,repeating,6,3.286395,1976-12-27 01:17:59.766840,253.96113298844443,231.59525734044445,15.561976468055557,sunrise5,29.600000129751763,0.0043773942494187,179.99015480454815,6.145329476216727,212.1766871588272,2.43888747284157,geophone_rock
761227-01-M1,761028-23-M3,1,1976-12-27 01:17:59.461058,0.8213879679785753,0.7057823129251701,3,35,A,AA,repeating,6,1.610885,1976-12-27 01:18:00.166840,253.96147669214807,231.59538771081483,15.561981097685186,sunrise5,30.20000012975177,0.0043082299890442,179.99015480454815,6.145329476216727,212.1766871588272,2.43888747284157,geophone_rock
770424-09-M1,761028-23-M3,3,1977-04-24 09:32:25.545765,0.9178819762942456,-2.7551020408163267,3,35,A,AA,repeating,6,3.838776,1977-04-24 09:32:22.790663,251.5193608659852,230.7632058457185,15.624048503043982,sunrise9,75.90000012975158,0.0367877440092638,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock
770424-09-M1,761028-23-M3,1,1977-04-24 09:32:26.353928,0.8107025283490384,-3.163265306122449,3,35,A,AA,repeating,6,7.2483,1977-04-24 09:32:23.190663,251.51970456968888,230.76333621608887,15.624053132673613,sunrise9,50.800000129752064,0.0076308105197579,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock
770424-09-M1,761028-23-M3,4,1977-04-24 09:32:26.057670,0.8594496749451463,-1.2670068027210886,3,35,A,AA,repeating,6,2.442518,1977-04-24 09:32:24.790663,251.5210793845037,230.7638576975704,15.624071651192128,sunrise9,44.50000012975197,0.0100747090848675,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock
770424-09-M1,761028-23-M3,2,1977-04-24 09:32:26.348486,0.8404120886484201,0.4421768707482993,3,35,A,AA,repeating,6,3.155103,1977-04-24 09:32:26.790663,251.52279790302225,230.7645095494222,15.624094799340275,sunrise9,51.50000012975208,0.0057859280454899,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock
761028-23-M3,761028-23-M3,3,1976-10-28 23:47:25.628114,1.0,0.0,3,35,A,AA,repeating,6,1.080613,1976-10-28 23:47:25.628114,258.3365024912,232.6629547647704,15.678768843912035,sunrise3,65.30000012975218,0.0270236980381798,165.30047293289445,1.5130010661791156,175.69357062008285,13.350033144693755,geophone_rock
761028-23-M3,761028-23-M3,4,1976-10-28 23:47:26.128114,1.0,0.0,3,35,A,AA,repeating,6,1.175851,1976-10-28 23:47:26.128114,258.3369024912,232.6631251351408,15.678774630949071,sunrise3,47.20000012975201,0.0090497341975732,165.30047293289445,1.5130010661791156,175.69357062008285,13.350033144693755,geophone_rock
