evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
770421-00-M2,770421-00-M2,1977-04-21 00:50:05.858333,AA,isolated,84.30546876543704,216.46546876543704,12.261352527002312,0.004101681190625,216.46546876543704,6.305358,142.28109680646344,0.1470872262877295,141.02257427861338,0.4891451853450598,GEO4_rock1
760831-17-M5,760831-17-M5,1976-08-31 17:39:28.600000,DD,isolated,296.1479822222222,251.38392592592592,16.454497685185185,0.0032809050251187,251.38392592592592,1.474831,-1.0,-1.0,-1.0,-1.0,GEO4_rock2or3
770206-17-M2,770206-17-M2,1977-02-06 17:13:19.833333,AA,repeating,311.3130345680445,324.34225925933333,27.60040316357639,0.014457001859122,324.34225925933333,1.940902,157.61907625341811,2.1490895578945324,133.57017720760942,3.1362783579287044,GEO4_rock1
770308-07-M4,770206-17-M2,1977-03-08 07:32:19.200000,AA,repeating,309.2201955555556,322.80700444444443,27.61098611111111,0.0129107100791629,322.80700444444443,12.753232249999998,159.62644191933722,0.2480993187235263,161.43005029039008,2.330910158530702,GEO4_rock1
770108-02-M3,770206-17-M2,1977-01-08 02:53:32.341667,AA,repeating,311.48654950602963,324.49614629622226,27.628325713738427,0.0135062111590519,324.49614629622226,4.09881025,159.7616579554114,0.2213652539438574,249.99120251479653,0.0623973980176867,GEO4_rock1
761209-12-N1,761209-12-N1,1976-12-09 12:58:19.025000,AA,isolated,309.6867151851852,323.2224388888889,27.64987297453704,0.0118499003285486,323.2224388888889,8.32108925,170.40778493377465,0.0124953592897247,190.2865559789484,0.5572901024260577,GEO4_rock1
770406-21-N2,770406-21-N2,1977-04-06 21:43:12.075000,AA,repeating,305.3279666666666,320.1055822222222,27.65500086805556,0.0144150844430006,320.1055822222222,2.49217725,153.18387211477474,0.4001666193466073,153.9964092608048,0.3736287146369681,GEO4_rock1
761109-23-M6,770406-21-N2,1976-11-09 23:54:51.966666,BB,repeating,306.17690370385185,320.763015308721,27.68393479937886,0.0161411654991063,320.763015308721,2.7782320000000005,155.6106096654453,0.7128462888283325,180.9133333499415,6.904982287926672,GEO4_rock1
761011-11-M2,770406-21-N2,1976-10-11 11:38:22.366667,BB,repeating,302.1359501233037,317.8675871604148,27.71154359568287,0.0171902949205763,317.8675871604148,1.271656,155.65902426463862,0.4656114130350284,170.00264279138193,50.73068090745354,GEO4_rock1
760911-23-M4,760911-23-M4,1976-09-11 23:55:30.658333,AA,isolated,298.74768790139257,315.0638439506963,27.715632619594903,0.0120383049407057,315.0638439506963,2.982824,146.72933889087795,2.8181176227135545,154.56452086157034,2.5552724441318206,GEO4_rock1
770208-07-N1,770208-07-N1,1977-02-08 07:24:57.233333,BB,isolated,212.2061160493827,285.83867950617287,29.191808256172845,0.0067007927141711,285.83867950617287,1.5087313333333334,156.3515792987689,0.5260984874933058,171.8194522816737,1.1318841168338831,GEO4_rock1
760913-12-M6,760913-12-M6,1976-09-13 12:26:05.200000,BB,isolated,185.5627881481481,277.3366725925926,29.23686574074074,0.0134472292312446,277.3366725925926,3.042631,336.01927709687914,0.4312404271285663,327.8355213418312,0.6073524860600693,GEO4_rock1
770408-11-M7,770408-11-M7,1977-04-08 11:42:26.100000,DD,isolated,198.47869333333333,281.59910666666667,29.23780208333333,0.0084065986972722,281.59910666666667,3.889797,-1.0,-1.0,-1.0,-1.0,unclear
760913-12-M2,760913-12-M2,1976-09-13 12:34:59.233333,BB,isolated,184.50043358091847,277.1547056791259,29.24304668209491,0.0177795212015698,277.1547056791259,1.035942,188.4932637684192,0.4901394880382245,150.1371725081346,51.99706362087419,GEO4_rock2or3
761111-13-N2,761111-13-N2,1976-11-11 13:33:31.900000,DD,isolated,199.4452637037037,282.08779703703703,29.252452546296297,0.0122748141693037,282.08779703703703,3.996259,-1.0,-1.0,-1.0,-1.0,GEO4_rock1
761111-13-M4,761111-13-M4,1976-11-11 13:35:46.450000,CC,isolated,199.22001703703705,282.0419503703704,29.25400983796296,0.0053059435759099,282.0419503703704,2.5465995,-1.0,-1.0,-1.0,-1.0,unclear
770408-13-M2,770408-13-M2,1977-04-08 13:10:12.600000,AA,isolated,189.17166222222207,279.81218666666666,29.29875694444444,0.0139638122498393,279.81218666666666,1.2669225,170.77738078200835,0.5595361984803262,174.4989605288901,0.124602885715782,GEO4_rock2or3
761111-14-M5,761111-14-M5,1976-11-11 14:52:28.659514,AA,isolated,191.08918876625185,280.46379009152594,29.307276151782407,0.0132348214648938,280.46379009152594,1.7805280000000003,187.91935893501267,1.3889760479508684,179.606091048886,0.4669618837138846,GEO4_rock2or3
761211-05-M2,761211-05-M2,1976-12-11 05:12:41.175000,AA,isolated,194.18091333333336,281.72936000000004,29.326518229166663,0.0136815880642706,281.72936000000004,1.380273,210.73993123097725,2.0349615086736144,167.41991337194258,0.1252981538241748,GEO4_rock2or3
